Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
26,CA-2016-121755,16/01/16,20/01/16,Secnd Class,EH-13945,Eric Hoffmann,consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,office supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
27,CA-2016-121755,01/16/16,20/01/16,Secnd Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,WEST,TEC-AC-10003027,technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
28,US-2015-150630,09/17/15,09/21/15,Stndrd Class,TB-21520,Tracy Blumstein,CONSUMER,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522
29,US-2015-150630,17/09/15,21/09/15,Stndrd Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,office supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532
30,US-2015-150630,09/17/15,21/09/15,Stndrd Class,TB-21520,Tracy Blumstein,CONSUMER,United States,Philadelphia,Pennsylvania,19140,east,FUR-FU-10004848,FURNITURE,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525
31,US-2015-150630,17/09/15,21/09/15,Stndrd Class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-EN-10001509,OFFICE SUPPLIES,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016
32,US-2015-150630,17/09/15,09/21/15,Stndrd Class,TB-21520,Tracy Blumstein,consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092
33,,17/09/15,21/09/15,Stndrd Class,TB-21520,,Consumer,United States,Philadelphia,Pennsylvania,19140,nan,OFF-BI-10001525,nan,,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,,
34,US-2015-150630,17/09/15,21/09/15,Stndrd Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,east,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546
35,CA-2017-107727,19/10/17,10/23/17,Secnd Class,MA-17560,Matt Abelman,home office,United States,Houston,Texas,77095,central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468
36,CA-2016-117590,08/12/16,10/12/16,Frst Clss,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,central,TEC-PH-10004977,technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737
37,CA-2016-117590,08/12/16,10/12/16,Frst Clss,GH-14485,Gene Hale,corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,FURNITURE,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963
38,CA-2015-117415,27/12/15,12/31/15,Stndrd Class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,central,OFF-EN-10002986,office supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415
39,CA-2015-117415,12/27/15,31/12/15,Stndrd Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764
40,CA-2015-117415,12/27/15,31/12/15,Stndrd Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.058,3,0.3,$-15.147
41,CA-2015-117415,27/12/15,12/31/15,Stndrd Class,SN-20710,Steve Nguyen,home office,United States,Houston,Texas,77041,CENTRAL,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564
42,CA-2017-120999,09/10/17,09/15/17,Stndrd Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,central,TEC-PH-10004093,technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564
43,CA-2016-101343,07/17/16,22/07/16,Stndrd Class,RA-19885,Ruben Ausman,corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
44,,09/19/17,23/09/17,Stndrd Class,ES-14080,,corporate,United States,Melbourne,Florida,32935,,OFF-ST-10003282,nan,,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,,
45,CA-2016-118255,11/03/16,13/03/16,Frst Clss,ON-18715,Odella Nelson,corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714
46,CA-2016-118255,11/03/16,03/13/16,Frst Clss,ON-18715,Odella Nelson,CORPORATE,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062
47,CA-2014-146703,10/20/14,25/10/14,Secnd Class,PO-18865,Patrick O'Donnell,consumer,United States,Westland,Michigan,48185,central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784
48,CA-2016-169194,06/20/16,25/06/16,Stndrd Class,LH-16900,Lena Hernandez,consumer,United States,Dover,Delaware,19901,east,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,CA-2016-169194,06/20/16,25/06/16,Stndrd Class,LH-16900,Lena Hernandez,consumer,United States,Dover,Delaware,19901,east,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104
50,CA-2015-115742,04/18/15,04/22/15,Stndrd Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634
51,CA-2015-115742,18/04/15,22/04/15,Stndrd Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,OFFICE SUPPLIES,Labels,Avery 485,75.18,6,0,35.3346
52,CA-2015-115742,18/04/15,22/04/15,Stndrd Class,DP-13000,Darren Powers,consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568
53,CA-2015-115742,04/18/15,22/04/15,Stndrd Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981
54,CA-2016-105816,12/11/16,12/17/16,Stndrd Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,office supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566
55,CA-2016-105816,11/12/16,12/17/16,Stndrd Class,JM-15265,Janet Molinari,corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,TECHNOLOGY,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855
56,CA-2016-111682,17/06/16,06/18/16,Frst Clss,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,east,OFF-ST-10000604,office supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,CA-2016-111682,06/17/16,18/06/16,Frst Clss,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,east,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552
58,CA-2016-111682,17/06/16,18/06/16,Frst Clss,TB-21055,Ted Butterfield,consumer,United States,Troy,New York,12180,east,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098
59,CA-2016-111682,06/17/16,18/06/16,Frst Clss,TB-21055,Ted Butterfield,CONSUMER,United States,Troy,New York,12180,east,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888
60,CA-2016-111682,17/06/16,06/18/16,Frst Clss,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,east,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3
61,CA-2016-111682,06/17/16,12-31-25,Frst Clss,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,east,OFF-BI-10001460,office supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362
62,CA-2016-111682,17/06/16,18/06/16,Frst Clss,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,EAST,OFF-AR-10001868,OFFICE SUPPLIES,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84
63,CA-2015-135545,24/11/15,30/11/15,Stndrd Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,west,TEC-AC-10004633,technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512
64,CA-2015-135545,11/24/15,30/11/15,Stndrd Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,OFFICE SUPPLIES,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612
65,CA-2015-135545,24/11/15,11/30/15,Stndrd Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,west,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631
66,CA-2015-135545,24/11/15,30/11/15,Stndrd Class,KM-16720,Kunst Miller,CONSUMER,United States,Los Angeles,California,90004,west,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328
67,US-2015-164175,30/04/15,05/05/15,Stndrd Class,PS-18970,Paul Stevenson,home office,United States,Chicago,Illinois,60610,CENTRAL,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225
68,CA-2014-106376,05/12/14,10/12/14,Stndrd Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,OFFICE SUPPLIES,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024
69,CA-2014-106376,12/05/14,10/12/14,Stndrd Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,west,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988
70,CA-2016-119823,04/06/16,06/06/16,Frst Clss,KD-16270,Karen Daniels,CONSUMER,United States,Springfield,Virginia,22153,SOUTH,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636
71,CA-2016-106075,18/09/16,23/09/16,Stndrd Class,HM-14980,Henry MacAllister,CONSUMER,United States,New York City,New York,10009,east,OFF-BI-10004654,office supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731
72,CA-2017-114440,14/09/17,17/09/17,Secnd Class,TB-21520,Tracy Blumstein,CONSUMER,United States,Jackson,Michigan,49201,CENTRAL,OFF-PA-10004675,office supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763
73,US-2015-134026,04/26/15,02/05/15,Stndrd Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,south,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912
74,US-2015-134026,26/04/15,05/02/15,Stndrd Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,SOUTH,FUR-FU-10003708,furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213
75,US-2015-134026,04/26/15,02/05/15,Stndrd Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,office supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196
76,US-2017-118038,09/12/17,11/12/17,Frst Clss,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,office supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344
77,US-2017-118038,09/12/17,12/11/17,Frst Clss,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,CENTRAL,FUR-FU-10000260,furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248
78,US-2017-118038,09/12/17,11/12/17,Frst Clss,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,US-2014-147606,26/11/14,01/12/14,Secnd Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,central,FUR-FU-10003194,FURNITURE,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475
80,CA-2016-127208,06/12/16,15/06/16,Frst Clss,SC-20770,Stewart Carmichael,CORPORATE,United States,Decatur,Alabama,35601,south,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032
81,CA-2016-127208,06/12/16,15/06/16,Frst Clss,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,SOUTH,OFF-BI-10002309,office supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352
82,CA-2014-139451,12/10/14,10/16/14,Stndrd Class,DN-13690,Duane Noonan,CONSUMER,United States,San Francisco,California,94122,West,OFF-AR-10002053,office supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172
83,CA-2014-139451,12/10/14,10/16/14,Stndrd Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,west,OFF-ST-10002370,office supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031
84,CA-2015-149734,03/09/15,09/08/15,Stndrd Class,JC-16105,Julie Creighton,CORPORATE,United States,Durham,North Carolina,27707,south,OFF-EN-10000927,office supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075
85,US-2017-119662,13/11/17,16/11/17,Frst Clss,CS-12400,Christopher Schild,HOME OFFICE,United States,Chicago,Illinois,60623,CENTRAL,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549
86,CA-2017-140088,28/05/17,30/05/17,Secnd Class,PO-18865,Patrick O'Donnell,consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156
87,CA-2017-155558,26/10/17,02/11/17,Stndrd Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966
88,CA-2017-155558,10/26/17,02/11/17,Stndrd Class,PG-18895,Paul Gonzalez,consumer,United States,Rochester,Minnesota,55901,CENTRAL,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568
89,CA-2016-159695,05/04/16,04/10/16,Secnd Class,GM-14455,Gary Mitchum,home office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572
90,CA-2016-109806,09/17/16,22/09/16,Stndrd Class,JS-15685,Jim Sink,corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633
91,CA-2016-109806,17/09/16,22/09/16,Stndrd Class,JS-15685,Jim Sink,CORPORATE,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782
92,CA-2016-109806,17/09/16,22/09/16,Stndrd Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104
93,CA-2015-149587,01/31/15,05/02/15,Secnd Class,KB-16315,Karl Braun,consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,office supplies,Paper,Xerox 1999,12.96,2,0,6.2208
94,CA-2015-149587,01/31/15,02/05/15,Secnd Class,KB-16315,Karl Braun,CONSUMER,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0,16.5354
95,CA-2015-149587,01/31/15,02/05/15,Secnd Class,KB-16315,Karl Braun,CONSUMER,United States,Minneapolis,Minnesota,55407,CENTRAL,OFF-BI-10002852,office supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0,16.1504
96,US-2017-109484,06/11/17,12/11/17,Stndrd Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,OFF-BI-10004738,office supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788
97,CA-2017-161018,09/11/17,11/11/17,Secnd Class,PN-18775,Parhena Norris,home office,United States,New York City,New York,10009,east,FUR-FU-10000629,FURNITURE,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0,40.5426
98,CA-2017-157833,17/06/17,20/06/17,Frst Clss,KD-16345,Katherine Ducich,consumer,United States,San Francisco,California,94122,west,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592
99,CA-2016-149223,06/09/16,09/11/16,Stndrd Class,ER-13855,Elpida Rittenbach,corporate,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,office supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0,22.5852
100,,29/08/16,02/09/16,Stndrd Class,RB-19465,,Home Office,United States,Chicago,Illinois,60610,nan,OFF-PA-10003256,NAN,,Avery Personal Creations Heavyweight Cards,64.624,7,,
101,CA-2016-158568,29/08/16,09/02/16,Stndrd Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,central,TEC-AC-10001767,TECHNOLOGY,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973
102,CA-2016-158568,08/29/16,02/09/16,Stndrd Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60610,central,OFF-BI-10002609,OFFICE SUPPLIES,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396
103,CA-2016-129903,01/12/16,12/04/16,Secnd Class,GZ-14470,Gary Zandusky,CONSUMER,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0,11.7208
104,US-2015-156867,13/11/15,17/11/15,Stndrd Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,WEST,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758
105,US-2015-156867,13/11/15,17/11/15,Stndrd Class,LC-16870,Lena Cacioppo,CONSUMER,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385
106,US-2015-156867,13/11/15,17/11/15,Stndrd Class,LC-16870,Lena Cacioppo,Consumer,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,office supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174
107,CA-2017-119004,23/11/17,28/11/17,Stndrd Class,JM-15250,Janet Martin,CONSUMER,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,TECHNOLOGY,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016
108,CA-2017-119004,23/11/17,28/11/17,Stndrd Class,JM-15250,Janet Martin,Consumer,United States,Charlotte,North Carolina,28205,SOUTH,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994
